,College Code,College Name,Course,Type,SM,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST
64,AHB,"Ahalia School of Pharmacy, Kozhipara, Palakkad",B.Pharm,S,18612,19748,20154,23655,30034,0,0,0,0,0,26981,0
65,CAB,"Caritas College of Pharmacy, Thellakom, Kottayam",B.Pharm,S,6876,8540,8406,16940,11884,13764,10016,0,0,0,12581,24405
66,CCB,"Chemists College of Pharmaceutical Scie.&Research, Varikoli,",B.Pharm,S,18973,22540,21590,0,0,19042,22760,30193,0,0,32262,0
67,CRB,"Crescent College of Pharmaceutical Sciences, Madayipara, Kannur",B.Pharm,S,18935,23444,20359,21757,33089,22877,0,0,0,32519,38330,0
68,DAB,"Devaki Amma Memorial College of Pharmacy, Pulliparamba,",B.Pharm,S,12777,15449,14079,21665,43762,0,18511,0,0,0,30970,45001
69,DMB,"DM WIMS College of Pharmacy, Wayanad",B.Pharm,S,22094,27070,23072,29769,36045,26074,31316,0,0,0,37720,37828
70,DPB,"Department of Pharmaceutical Science, Ettumanoor",B.Pharm,S,17679,18190,22884,22042,36024,0,0,20366,0,40296,25078,0
71,DVB,"The Dale View College of Pharmacy & Research Centre, Punalal,",B.Pharm,S,17572,23051,19794,25857,18341,26930,20982,0,0,0,24421,34442
72,ECB,"Ezhuthachan College of Pharmaceutical Science, Marayamuttam,",B.Pharm,S,15822,20248,17128,19832,23561,26010,19827,0,0,0,23104,0
73,EPB,"Elims College of Pharmacy, Ramavarmapuram, Thrissur.",B.Pharm,S,21414,24185,21959,25670,34024,0,0,31314,28327,0,32431,0
74,GCB,"Grace College of Pharmacy, Kodunthirapully, Palakkad",B.Pharm,S,22147,27742,23117,0,0,30922,35847,0,0,36217,28614,49498
75,HGB,"Holy Grace Academy of Pharmacy, Mala,Thrissur",B.Pharm,S,12035,13573,14217,18465,12924,12783,24918,0,0,0,28376,29586
76,HKB,"Hindustan College of Pharmacy, Kanjirappally",B.Pharm,S,23855,30826,24144,31165,41869,0,0,0,0,0,33707,0
77,JCB,"St. James College of Pharmaceutical Sciences, River Bank,",B.Pharm,S,17323,21473,19509,0,0,33320,28165,32367,0,0,39065,52537
78,JDB,"JDT Islam College of Pharmacy, Marikunnu, Kozhikode",B.Pharm,S,8783,14413,9910,25314,43323,24937,0,0,13720,36427,14889,0
79,JSB,"Jamia Salafiya Pharmacy College, Salafiya Gramam, Pulikkal,",B.Pharm,S,18418,27180,21118,18829,0,0,24258,29555,0,0,37189,0
80,KCB,"KMCT College of Pharmacy, Mampra, Malappuram",B.Pharm,S,6046,8083,6806,19644,19908,0,0,15578,27713,0,13882,0
