,College Code,College Name,Course,Type,SM,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST
393,CEM,"College of Engineering, Muttathara.",Electical & Electronics Engineering,N,52323,0,0,0,0,0,0,0,0,0,0,0
394,CHN,"College of Engineering, Chengannur, Alappuzha.",Electical & Electronics Engineering,N,49972,0,0,0,0,0,0,0,0,0,0,0
395,KGR,"College of Engineering, Kidangoor.",Electical & Electronics Engineering,N,52382,0,0,0,0,0,0,0,0,0,0,0
396,KNP,"College of Engineering, Karunagappally.",Electical & Electronics Engineering,N,51690,0,0,0,0,0,0,0,0,0,0,0
397,KSD,"LBS College of Engineering, Kasaragod.",Electical & Electronics Engineering,N,52710,0,0,0,0,0,0,0,0,0,0,0
398,MDL,"Model Engineering College, Thrikkakkara.",Electical & Electronics Engineering,N,7942,9432,8286,0,0,52054,31765,0,40275,37051,52846,0
399,MNR,"College of Engineering, Munnar.",Electical & Electronics Engineering,N,45607,0,0,0,0,0,0,0,0,0,0,0
400,PEC,"College of Engineering, Pathanapuram.",Electical & Electronics Engineering,N,51792,0,0,0,0,0,0,0,0,0,0,0
401,PRN,College of Engineering Perumon.,Electical & Electronics Engineering,N,24696,30425,38371,28888,27073,0,48611,0,0,0,50085,0
402,PRP,"College of Engineering & Management, Punnapra.",Electical & Electronics Engineering,N,52335,0,0,0,0,0,0,0,0,0,0,0
403,PTA,"College of Engineering, Kallooppara.",Electical & Electronics Engineering,N,52452,0,0,0,0,0,0,0,0,0,0,0
404,TKR,"College of Engineering, Thrikarippur, Kasaragod.",Electical & Electronics Engineering,N,53013,0,0,0,0,0,0,0,0,0,0,0
405,TLY,"College of Engineering, Thalassery, Kannur.",Electical & Electronics Engineering,N,41890,52171,46049,51425,0,0,0,0,0,0,0,0
406,UCC,"Calicut Unity. Institute of Engineering & Tech., Tenhipalam.",Electical & Electronics Engineering,N,51097,0,0,0,0,0,0,0,0,0,0,0
407,UCE,"University College of Engineering,Thodupuzha.",Electical & Electronics Engineering,N,51887,0,0,0,0,0,0,0,0,0,0,0
408,VDA,"College of Engineering, Vadakara, Kozhikode.",Electical & Electronics Engineering,N,52364,0,0,0,0,0,0,0,0,0,0,0
409,AAP,"Al-Ameen College of Engineering, Pattambi.",Electical & Electronics Engineering,S,48026,0,0,0,0,0,0,0,0,0,0,0
410,AIK,"Albertian Institute of Science and Technology, Kalamassery.",Electical & Electronics Engineering,S,52020,0,0,0,0,0,0,0,0,0,0,0
411,AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Electical & Electronics Engineering,S,52479,0,0,0,0,0,0,0,0,0,0,0
412,AME,"Rajadhani Institute of Science and Technology, Palakkad",Electical & Electronics Engineering,S,47826,0,0,0,0,0,0,0,0,0,0,0
413,ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Electical & Electronics Engineering,S,48763,0,0,0,0,0,0,0,0,0,0,0
414,ATP,"Ahalia School of Engineering & Technology, Pudussery, Palakkad.",Electical & Electronics Engineering,S,47167,0,0,0,0,0,0,0,0,0,0,0
415,AWH,"AWH Engineering College, Kozhikkode",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
416,AXE,"Axis College of Engineering & Technology, Murikkingal, Thrissur.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
417,BJK,"Bishop Jerome Institute, Kollam.",Electical & Electronics Engineering,S,52288,0,0,0,0,0,0,0,0,0,0,0
418,BMC,"Baselios Mathew II College of Engg., Sasthamcotta, Kollam.",Electical & Electronics Engineering,S,51394,0,0,0,0,0,0,0,0,0,0,0
419,CCE,"Christ College of Engineering, Irinjalakuda.",Electical & Electronics Engineering,S,45254,0,0,0,0,0,0,0,0,0,0,0
420,CCV,"MGM College of Engineering and Pharmaceutical Sciences,",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
421,CEN,"College of Engineering and Technology, Payyannur, Kannur.",Electical & Electronics Engineering,S,33710,0,0,0,0,0,0,0,0,0,0,0
422,CMA,"Carmel College of Engg. & Technology, Punnapra, Alappuzha.",Electical & Electronics Engineering,S,51816,0,0,0,0,0,0,0,0,0,0,0
423,DMC,"M Dasan Memmorial Co-op. Inst. of Engg. & Inf. Tech., Koyilandy.",Electical & Electronics Engineering,S,51602,0,0,0,0,0,0,0,0,0,0,0
424,FIT,"Federal Institute of Science & Tech., Angamaly.",Electical & Electronics Engineering,S,47745,0,0,0,0,0,0,0,0,0,0,0
425,GIT,"Gurudeva Institute of Science & Technology, Puthuppally.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
426,HCE,"Heera College of Engineering & Technology, Nedumangad.",Electical & Electronics Engineering,S,17038,0,0,0,0,0,0,0,0,0,0,0
427,HGW,"Holy Grace Academy of Engineering, Mala, Thrissur.",Electical & Electronics Engineering,S,52672,0,0,0,0,0,0,0,0,0,0,0
428,ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
429,IES,"I E S College of Engineering, Chittilappilly.",Electical & Electronics Engineering,S,52235,0,0,0,0,0,0,0,0,0,0,0
430,IGW,"Indira Gandhi Inst. of Engineering & Tech., Kothamangalam",Electical & Electronics Engineering,S,50866,0,0,0,0,0,0,0,0,0,0,0
431,JBT,"Jai Bharath College of Management & Engg. Tech., Perumbavoor.",Electical & Electronics Engineering,S,21380,0,0,0,0,0,0,0,0,0,0,0
432,JEC,"Jyothi Engineering College, Cheruthuruthy.",Electical & Electronics Engineering,S,47476,0,0,0,0,0,0,0,0,0,0,0
433,JIT,"John Cox Memorial CSI Institute of Technology,",Electical & Electronics Engineering,S,50445,0,0,0,0,0,0,0,0,0,0,0
434,KIT,"Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
435,KMC,"KMCT College of  Engineering, Kozhikkode.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
436,KME,"K M E A Engineering College, Edathala.",Electical & Electronics Engineering,S,51422,0,0,0,0,0,0,0,0,0,0,0
437,LMC,"Lourdes Matha College of Science and Technology, Kuttichal.",Electical & Electronics Engineering,S,44027,0,0,0,0,0,0,0,0,0,0,0
438,MBC,"Mar Baselios Christian College of Engg. & Tech., Peermede.",Electical & Electronics Engineering,S,52509,0,0,0,0,0,0,0,0,0,0,0
439,MBI,"Mar Baselios Institute of Technology & Science, Kothamangalam.",Electical & Electronics Engineering,S,52917,0,0,0,0,0,0,0,0,0,0,0
440,MBT,"Mar Baselious College of Engg. & Tech., Thiruvananthapuram.",Electical & Electronics Engineering,S,51479,0,0,0,0,0,0,0,0,0,0,0
441,MCE,"Marian Engineering College, Kazhakuttom.",Electical & Electronics Engineering,S,51511,0,0,0,0,0,0,0,0,0,0,0
442,MCK,"Musaliar College of Engineering & Tech., Pathanamthitta.",Electical & Electronics Engineering,S,43040,0,0,0,0,0,0,0,0,0,0,0
443,MCT,"Mohandas College of Engg. & Tech., Nedumangad, TVM",Electical & Electronics Engineering,S,49514,0,0,0,0,0,0,0,0,0,0,0
444,MEA,"M E A Engineering College, Malappuram.",Electical & Electronics Engineering,S,48141,0,0,0,0,0,0,0,0,0,0,0
445,MEK,"MES Institute of Tech. & Management, Chathannoor.",Electical & Electronics Engineering,S,51939,0,0,0,0,0,0,0,0,0,0,0
446,MES,"M E S College of Engineering, Kuttippuram.",Electical & Electronics Engineering,S,48797,0,0,0,0,0,0,0,0,0,0,0
447,MGC,"M G College of Engineering, Thiruvallom.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
448,MGE,"MGM College of Engineering & Technology, Ernakulam",Electical & Electronics Engineering,S,49834,0,0,0,0,0,0,0,0,0,0,0
449,MGP,"Saintgits College of Engineering, Kottayam",Electical & Electronics Engineering,S,52616,0,0,0,0,0,0,0,0,0,0,0
450,MHP,"Ace College of Engineering, .Thiruvallam.",Electical & Electronics Engineering,S,45123,0,0,0,0,0,0,0,0,0,0,0
451,MLM,"Mangalam College of Engineering, Ettumanoor.",Electical & Electronics Engineering,S,50877,0,0,0,0,0,0,0,0,0,0,0
452,MLT,"Malabar Institute of Technology, Anjarakandi.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
453,MUS,"Muslim Association College of Engineering, Venjaramoodu.",Electical & Electronics Engineering,S,42737,0,0,0,0,0,0,0,0,0,0,0
454,MUT,"Muthoot Institute of Tech. & Science, Puthencurz, Ernakulam.",Electical & Electronics Engineering,S,47314,0,0,0,0,0,0,0,0,0,0,0
455,NCE,"Nehru College of Engg. & Research Centre, Thiruvillwamala.",Electical & Electronics Engineering,S,45806,0,0,0,0,0,0,0,0,0,0,0
456,PAA,"P A Aziz College of Engineering, Karakulam, Thiruvananthapuram",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
457,PRC,"Providence College of Engineering, Chengannur.",Electical & Electronics Engineering,S,52656,0,0,0,0,0,0,0,0,0,0,0
458,PRS,"PRS College of Engineering & Tech., Neyyattinkara.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
459,RET,"Rajagiri School of Engineering and Technology, Kochi.",Electical & Electronics Engineering,S,41440,0,0,0,49411,0,0,0,0,0,0,0
460,RIE,"Rajadhani Institute of Engineering & Tech., Attingal.",Electical & Electronics Engineering,S,52550,0,0,0,0,0,0,0,0,0,0,0
461,SBC,"Sree Buddha College of Engineering, Nooranadu.",Electical & Electronics Engineering,S,49755,0,0,0,0,0,0,0,0,0,0,0
462,SBW,"Sree Buddha College of Engineering, Elavumthitta, Pathanamthitta",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
463,SCM,"SCMS School of Engg. & Tech., Ernakulam",Electical & Electronics Engineering,S,48363,0,0,0,0,0,0,0,0,0,0,0
464,SHM,"Shahul Hameed Memorial Engineering College, Kadakkal, Kollam",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
465,SHR,"Sahrdaya College of Engineering and Technology, Kodakara.",Electical & Electronics Engineering,S,43421,0,0,0,0,0,0,0,0,0,0,0
466,SIT,"Sarabhai Institute of Science & Technology, Vellanad.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
467,SJC,"St. Josephs College of Engineering and Technology,Palai.",Electical & Electronics Engineering,S,46643,0,0,0,0,0,0,0,0,0,0,0
468,SNC,"Sree Narayana Guru College of Engg & Technology, Payyannur.",Electical & Electronics Engineering,S,48257,0,0,0,0,0,0,0,0,0,0,0
469,SNG,"Sree Narayana Gurukulam College of Engineering, Kolencherry.",Electical & Electronics Engineering,S,40028,0,0,0,0,0,0,0,0,0,0,0
470,SNM,"Sree Narayana Mangalam Inst. of Mgmt. & Tech., Moothakunnam.",Electical & Electronics Engineering,S,51054,0,0,0,0,0,0,0,0,0,0,0
471,SNP,"Sree Narayana Institute of Technology, Adoor",Electical & Electronics Engineering,S,48895,0,0,0,0,0,0,0,0,0,0,0
472,SNT,"Sree Narayana Guru Institute of Science & Tech., N. Paravoor.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
473,SPT,"Sreepathy Institute of Management & Tech., Koottanad.",Electical & Electronics Engineering,S,45831,0,0,0,0,0,0,0,0,0,0,0
474,STC,"St. Thomas College of Engg. & Technology, Chengannur.",Electical & Electronics Engineering,S,48791,0,0,0,0,0,0,0,0,0,0,0
475,STI,"St. Thomas Institute of Science & Technology, Kattaikonam.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
476,TCT,"Trinity College of Engg, Neruvamoodu, Thiruvananthapuram.",Electical & Electronics Engineering,S,53120,0,0,0,0,0,0,0,0,0,0,0
477,TEC,"Travancore Engineering College, Oyoor, Kollam.",Electical & Electronics Engineering,S,48372,0,0,0,0,0,0,0,0,0,0,0
478,TJE,"Thejus Engineering College, Erumapetti, Thrissur.",Electical & Electronics Engineering,S,51525,0,0,0,0,0,0,0,0,0,0,0
479,TKI,"T K M Institute of Technology, Ezhukone, Kollam.",Electical & Electronics Engineering,S,53186,0,0,0,0,0,0,0,0,0,0,0
480,TOC,"Toc H Institute of Science & Tech., Mulamthurutthy.",Electical & Electronics Engineering,S,21837,0,0,0,0,0,0,0,0,0,0,0
481,UKP,"UKF College of Engineering & Tech., Parippally.",Electical & Electronics Engineering,S,49838,0,0,0,0,0,0,0,0,0,0,0
482,UNT,"Universal Engineering College, Vallivattom, Thrissur.",Electical & Electronics Engineering,S,52836,0,0,0,0,0,0,0,0,0,0,0
483,VAK,"Vidya Academy of Science & Technology, Kilimanoor.",Electical & Electronics Engineering,S,51483,0,0,0,0,0,0,0,0,0,0,0
484,VAS,"Vidya Academy of Science & Technology, Thrissur.",Electical & Electronics Engineering,S,49271,0,0,0,0,0,0,0,0,0,0,0
485,VIT,"Vijnan Institute of Science & Technology, Piravam.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
486,VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",Electical & Electronics Engineering,S,50191,0,0,0,0,0,0,0,0,0,0,0
487,VKE,"Valia Koonambaikulathamma College of Engg. & tech., Parippally.",Electical & Electronics Engineering,S,20654,0,0,0,0,0,0,0,0,0,0,0
488,VML,"Vimal Jyothi Engineering College, Chemperi.",Electical & Electronics Engineering,S,52228,0,0,0,0,0,0,0,0,0,0,0
489,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",Electical & Electronics Engineering,S,50041,0,0,0,0,0,0,0,0,0,0,0
490,VVT,"Veda Vyasa Institute of Technology, Ponnempadam, Malappuram.",Electical & Electronics Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
491,YCE,"Younus College of Engg. & Technology, Vadakkevila, Kollam",Electical & Electronics Engineering,S,49295,0,0,0,0,0,0,0,0,0,0,0
492,TOC,"Toc H Institute of Science & Tech., Mulamthurutthy.",Electrical & Computer Engineering,S,48520,0,0,0,0,0,0,0,0,0,0,0
493,MDL,"Model Engineering College, Thrikkakkara.",Electronics & Biomedical Engineering,N,10885,17120,14348,18518,15494,20816,12081,0,0,0,41497,0
494,SPT,"Sreepathy Institute of Management & Tech., Koottanad.",Electronics & Communication Engineering,S,43488,0,0,0,0,0,0,0,0,0,0,0
495,STC,"St. Thomas College of Engg. & Technology, Chengannur.",Electronics & Communication Engineering,S,43024,0,0,0,0,0,0,0,0,0,0,0
496,STI,"St. Thomas Institute of Science & Technology, Kattaikonam.",Electronics & Communication Engineering,S,46989,0,0,0,0,0,0,0,0,0,0,0
497,STM,"St. Thomas College of Engineering & Technology,  Kannur.",Electronics & Communication Engineering,S,52567,0,0,0,0,0,0,0,0,0,0,0
498,TCT,"Trinity College of Engg, Neruvamoodu, Thiruvananthapuram.",Electronics & Communication Engineering,S,44800,0,0,0,0,0,0,0,0,0,0,0
499,TOC,"Toc H Institute of Science & Tech., Mulamthurutthy.",Electronics & Communication Engineering,S,41370,0,0,0,0,0,0,0,0,0,0,0
500,UKP,"UKF College of Engineering & Tech., Parippally.",Electronics & Communication Engineering,S,45536,0,0,0,0,0,0,0,0,0,0,0
501,UNT,"Universal Engineering College, Vallivattom, Thrissur.",Electronics & Communication Engineering,S,52867,0,0,0,0,0,0,0,0,0,0,0
502,VAK,"Vidya Academy of Science & Technology, Kilimanoor.",Electronics & Communication Engineering,S,47918,0,0,0,0,0,0,0,0,0,0,0
503,VAS,"Vidya Academy of Science & Technology, Thrissur.",Electronics & Communication Engineering,S,49865,0,0,0,0,0,0,0,0,0,0,0
504,VIT,"Vijnan Institute of Science & Technology, Piravam.",Electronics & Communication Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
505,VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",Electronics & Communication Engineering,S,40183,0,0,0,0,0,0,0,0,0,0,0
506,VKE,"Valia Koonambaikulathamma College of Engg. & tech., Parippally.",Electronics & Communication Engineering,S,51878,0,0,0,0,0,0,0,0,0,0,0
507,VML,"Vimal Jyothi Engineering College, Chemperi.",Electronics & Communication Engineering,S,49928,0,0,0,0,0,0,0,0,0,0,0
508,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",Electronics & Communication Engineering,S,52572,0,0,0,0,0,0,0,0,0,0,0
509,VVT,"Veda Vyasa Institute of Technology, Ponnempadam, Malappuram.",Electronics & Communication Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
510,YCE,"Younus College of Engg. & Technology, Vadakkevila, Kollam",Electronics & Communication Engineering,S,51623,0,0,0,0,0,0,0,0,0,0,0
511,CHN,"College of Engineering, Chengannur, Alappuzha.",Electronics & Instrumentation,N,52574,0,0,0,0,0,0,0,0,0,0,0
512,FIT,"Federal Institute of Science & Tech., Angamaly.",Electronics & Instrumentation,S,48368,0,0,0,0,0,0,0,0,0,0,0
513,SIT,"Sarabhai Institute of Science & Technology, Vellanad.",Electronics & Instrumentation,S,0,0,0,0,0,0,0,0,0,0,0,0
514,SJC,"St. Josephs College of Engineering and Technology,Palai.",Electronics & Instrumentation,S,29863,0,0,0,0,0,0,0,0,0,0,0
515,CFT,"College of Food Technolgy, Thumburmuzhy",Food Technology,G,9288,12548,11430,11011,19558,0,0,0,0,0,40494,0
516,COU,"School of Ocean Engg. & Underwater Tech., KUFOS, Panangad",Food Technology,G,12368,15215,13826,16729,15100,19100,12936,13888,0,0,42495,0
517,KCT,"Kelappaji College of-Agrl. Engg. & Technology, Tavanur.",Food Technology,G,12429,14889,14120,17917,0,38793,16687,0,39181,12469,33294,0
518,AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Food Technology,S,32550,51160,40651,43151,36216,0,0,0,0,0,51702,0
519,MGP,"Saintgits College of Engineering, Kottayam",Food Technology,S,28873,36052,36186,0,39257,42056,0,50111,0,0,51606,0
520,SBC,"Sree Buddha College of Engineering, Nooranadu.",Food Technology,S,37665,0,41261,0,0,0,0,0,47313,0,49534,0
521,TKI,"T K M Institute of Technology, Ezhukone, Kollam.",Food Technology,S,28663,41130,32269,0,0,43433,0,0,0,0,47958,0
522,TVE,"College of Engineering,Thiruvananthapuram.",Industrial Engineering,G,6769,8985,9034,9667,12594,30202,25835,0,52059,0,49487,0
523,IDK,"Engineering College, Idukki",Information Technology,G,14423,23163,19899,33788,38059,0,22219,29137,0,0,52553,51333
524,PKD,"Govt. Engineering College, Sreekrishnapuram.",Information Technology,G,11301,14741,13652,15635,19310,51727,23900,0,0,0,49379,0
525,TRV,"Govt. Engineering College, Barton Hills, TVM",Information Technology,G,7890,8510,9791,10764,12759,33829,10516,10907,42518,22612,44551,0
526,KSD,"LBS College of Engineering, Kasaragod.",Information Technology,N,35254,43511,35671,0,0,0,0,0,0,0,0,0
527,LBT,"LBS Institute of Tech. for Women, Poojapura, TVPM",Information Technology,N,29155,35982,32262,35531,46682,0,0,0,0,0,48928,0
528,TLY,"College of Engineering, Thalassery, Kannur.",Information Technology,N,37198,45341,43000,39548,0,40348,41971,0,0,0,53156,0
529,UCC,"Calicut Unity. Institute of Engineering & Tech., Tenhipalam.",Information Technology,N,53202,0,0,0,0,0,0,0,0,0,0,0
530,UCK,"University College of Engineering, Kariavattom.",Information Technology,N,46815,50787,0,49691,0,0,0,0,0,0,0,0
531,VDA,"College of Engineering, Vadakara, Kozhikode.",Information Technology,N,53092,0,0,0,0,0,0,0,0,0,0,0
532,AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Information Technology,S,53114,0,0,0,0,0,0,0,0,0,0,0
533,KMC,"KMCT College of  Engineering, Kozhikkode.",Information Technology,S,47458,0,0,0,0,0,0,0,0,0,0,0
534,MEA,"M E A Engineering College, Malappuram.",Information Technology,S,49869,0,0,0,0,0,0,0,0,0,0,0
535,MES,"M E S College of Engineering, Kuttippuram.",Information Technology,S,52811,0,0,0,0,0,0,0,0,0,0,0
536,RET,"Rajagiri School of Engineering and Technology, Kochi.",Information Technology,S,17696,36007,25232,0,0,31670,0,0,36270,0,0,0
537,TOC,"Toc H Institute of Science & Tech., Mulamthurutthy.",Information Technology,S,53137,0,0,0,0,0,0,0,0,0,0,0
538,VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",Information Technology,S,49675,0,0,0,0,0,0,0,0,0,0,0
539,NSS,"N S S College of Engineering, Palakkad.",Instrumentation & Control Engg,G,15118,17775,18417,19079,0,0,27062,0,0,0,53236,0
540,SNM,"Sree Narayana Mangalam Inst. of Mgmt. & Tech., Moothakunnam.",Instrumentation & Control Engg,S,51115,0,0,0,0,0,0,0,0,0,0,0
541,SCT,"S C T College of Engineering, Pappanamcode, TVPM",Mechanical (Production Engg.),N,34336,41170,43321,38998,37754,0,43878,0,0,47375,37995,0
542,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",Mechanical (Production Engg.),S,0,0,0,0,0,0,0,0,0,0,0,0
543,SCT,"S C T College of Engineering, Pappanamcode, TVPM",Mechanical Engg. (Automobile),N,23740,25504,35016,0,0,0,27271,0,0,0,53082,0
544,AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Mechanical Engg. (Automobile),S,53063,0,0,0,0,0,0,0,0,0,0,0
545,SNP,"Sree Narayana Institute of Technology, Adoor",Mechanical Engg. (Automobile),S,53127,0,0,0,0,0,0,0,0,0,0,0
546,IDK,"Engineering College, Idukki",Mechanical Engineering,G,11460,27354,23087,35825,37351,39156,36955,43715,0,0,48905,0
547,KKE,"Govt. Engineering College, Kozhikkode.",Mechanical Engineering,G,10986,18261,18354,17481,33170,52035,16735,15961,0,0,48445,34815
548,KNR,"Govt. College of Engineering, Kannur.",Mechanical Engineering,G,11213,13755,14189,14157,22924,39531,16479,32476,0,19157,47572,34473
549,KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam.",Mechanical Engineering,G,9301,10936,9710,13628,22374,20584,12274,0,0,0,52973,0
550,MAC,"M A College of Engineering, Kothamangalam.",Mechanical Engineering,G,9856,12048,11342,14005,22297,32153,10462,33738,28281,0,51165,0
551,NSS,"N S S College of Engineering, Palakkad.",Mechanical Engineering,G,11446,14799,13969,15141,26658,42060,14971,0,41664,0,51008,50867
552,PKD,"Govt. Engineering College, Sreekrishnapuram.",Mechanical Engineering,G,11130,19929,19995,18826,37936,0,17632,0,0,0,52368,0
553,TCR,"Govt. Engineering College,Thrissur.",Mechanical Engineering,G,4411,6170,6321,6546,17297,26342,6657,0,9989,9702,39014,50553
554,TKM,"T K M College of Engineering, Kollam.",Mechanical Engineering,G,5629,7390,6979,9889,19151,16494,8581,14742,45703,0,47455,0
555,TRV,"Govt. Engineering College, Barton Hills, TVM",Mechanical Engineering,G,7484,9969,8188,9714,10863,28024,9782,14049,0,10798,37069,0
556,TVE,"College of Engineering,Thiruvananthapuram.",Mechanical Engineering,G,1579,2297,2454,1811,3617,6795,5477,2606,2295,6721,29338,39386
557,WYD,"Govt. Engineering College, Mananthavady.",Mechanical Engineering,G,12428,25981,23870,35513,52133,42540,35840,35409,46879,37693,52154,48217
558,ADR,"College of Engineering, Adoor",Mechanical Engineering,N,41578,51644,50538,47506,0,0,51502,0,0,0,51848,0
559,CEM,"College of Engineering, Muttathara.",Mechanical Engineering,N,51470,0,0,0,0,0,0,0,0,0,0,0
560,KNP,"College of Engineering, Karunagappally.",Mechanical Engineering,N,52723,0,0,0,0,0,0,0,0,0,0,0
561,KSD,"LBS College of Engineering, Kasaragod.",Mechanical Engineering,N,51187,0,0,0,0,0,0,0,0,0,0,0
562,MDL,"Model Engineering College, Thrikkakkara.",Mechanical Engineering,N,11556,14236,12212,18341,15902,31591,15152,0,0,0,43524,48660
563,MNR,"College of Engineering, Munnar.",Mechanical Engineering,N,53232,0,0,0,0,0,0,0,0,0,0,0
564,PEC,"College of Engineering, Pathanapuram.",Mechanical Engineering,N,51959,0,0,0,0,0,0,0,0,0,0,0
565,PRN,College of Engineering Perumon.,Mechanical Engineering,N,29515,34322,43155,0,33160,0,45965,35699,0,38637,40462,0
566,PRP,"College of Engineering & Management, Punnapra.",Mechanical Engineering,N,51961,0,0,0,0,0,0,0,0,0,0,0
567,SCT,"S C T College of Engineering, Pappanamcode, TVPM",Mechanical Engineering,N,14630,19712,17478,17057,21085,30664,16487,0,0,0,52147,0
568,TLY,"College of Engineering, Thalassery, Kannur.",Mechanical Engineering,N,38094,47764,51262,42830,0,0,40510,0,0,0,49765,0
569,UCC,"Calicut Unity. Institute of Engineering & Tech., Tenhipalam.",Mechanical Engineering,N,52782,0,0,0,0,0,0,0,0,0,0,0
570,AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Mechanical Engineering,S,49885,0,0,0,0,0,0,0,0,0,0,0
571,AAP,"Al-Ameen College of Engineering, Pattambi.",Mechanical Engineering,S,44205,0,0,0,0,0,0,0,0,0,0,0
572,AIK,"Albertian Institute of Science and Technology, Kalamassery.",Mechanical Engineering,S,53124,0,0,0,0,0,0,0,0,0,0,0
573,AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Mechanical Engineering,S,52460,0,0,0,0,0,0,0,0,0,0,0
574,AME,"Rajadhani Institute of Science and Technology, Palakkad",Mechanical Engineering,S,45146,0,0,0,0,0,0,0,0,0,0,0
575,ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Mechanical Engineering,S,52741,0,0,0,0,0,0,0,0,0,0,0
576,ATP,"Ahalia School of Engineering & Technology, Pudussery, Palakkad.",Mechanical Engineering,S,50587,0,0,0,0,0,0,0,0,0,0,0
577,AWH,"AWH Engineering College, Kozhikkode",Mechanical Engineering,S,52966,0,0,0,0,0,0,0,0,0,0,0
578,AXE,"Axis College of Engineering & Technology, Murikkingal, Thrissur.",Mechanical Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
579,BJK,"Bishop Jerome Institute, Kollam.",Mechanical Engineering,S,53005,0,0,0,0,0,0,0,0,0,0,0
580,BMC,"Baselios Mathew II College of Engg., Sasthamcotta, Kollam.",Mechanical Engineering,S,52464,0,0,0,0,0,0,0,0,0,0,0
581,CCE,"Christ College of Engineering, Irinjalakuda.",Mechanical Engineering,S,51564,0,0,0,0,0,0,0,0,0,0,0
582,CCV,"MGM College of Engineering and Pharmaceutical Sciences,",Mechanical Engineering,S,52015,0,0,0,0,0,0,0,0,0,0,0
583,CEN,"College of Engineering and Technology, Payyannur, Kannur.",Mechanical Engineering,S,53093,0,0,0,0,0,0,0,0,0,0,0
584,CKC,"Christ Knowledge City, Kuzhoor,EKM",Mechanical Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
585,CMA,"Carmel College of Engg. & Technology, Punnapra, Alappuzha.",Mechanical Engineering,S,52965,0,0,0,0,0,0,0,0,0,0,0
586,DMC,"M Dasan Memmorial Co-op. Inst. of Engg. & Inf. Tech., Koyilandy.",Mechanical Engineering,S,51796,0,0,0,0,0,0,0,0,0,0,0
587,ECE,"ICCS College of Engineering and Management, Thrissur",Mechanical Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
588,EKC,"Eranad Knowledgecity Technical Campus, Cherukulam, Manjeri",Mechanical Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
589,FIT,"Federal Institute of Science & Tech., Angamaly.",Mechanical Engineering,S,51776,0,0,0,0,0,0,0,0,0,0,0
590,GIT,"Gurudeva Institute of Science & Technology, Puthuppally.",Mechanical Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
591,HCE,"Heera College of Engineering & Technology, Nedumangad.",Mechanical Engineering,S,51729,0,0,0,0,0,0,0,0,0,0,0
592,HGW,"Holy Grace Academy of Engineering, Mala, Thrissur.",Mechanical Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
