Program Category,Program Name,Degree,Program Type,Sanctioned Intake,Actual Intake,NRI,PIO,clg_name
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,120,128,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING(MACHINE DESIGN),M.Tech,Full Time,18,3,Yes,Yes,AMAL JYOTHI COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,46,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,30,11,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,33,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,30,5,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,26,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING(POWER ELECTRONICS AND DRIVES),M.Tech,Full Time,18,Admissions Pending,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI DESIGN),M.Tech,Full Time,18,Admissions Pending,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,CIVIL ENGINEERING(STRUCTURAL ENGINEERING),M.Tech,Full Time,18,11,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(COMPUTER SCIENCE AND ENGINEERING),M.Tech,Full Time,18,8,No,No,AWH ENGINEERING COLLEGE ( Private )
MCA,MASTERS IN COMPUTER APPLICATIONS,MCA,Full Time,30,6,No,No,AWH ENGINEERING COLLEGE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,1,Yes,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,3,Yes,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,120,2,Yes,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,120,2,Yes,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,1,Yes,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(EMBEDDED SYSTEMS),M.Tech,Full Time,18,Admissions Pending,Yes,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING(STRUCTURAL ENGINEERING),M.Tech,Full Time,18,Admissions Pending,Yes,No,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,12,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING,B.Tech,Full Time,60,9,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,26,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,48,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,51,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,18,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(COMPUTER SCIENCE AND ENGINEERING),M.Tech,Full Time,18,13,Yes,No,BASELIOS MATHEWS II COLLEGE OF ENGINEERING ( Private )
Architecture and Town Planning,ARCHITECTURE,B.Arch,Full Time,40,38,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,36,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,63,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,40,Yes,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,25,Yes,No,BISHOP JEROME INSTITUTE ( Private )
