"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"TEC","Travancore Engineering College, Oyoor, Kollam.","S","49544","-","-","-","-","-","-","-","-","-","-","-",""
"TJE","Thejus Engineering College, Erumapetti, Thrissur.","S","42105","-","-","-","-","-","-","-","-","-","-","-",""
"TKI","T K M Institute of Technology, Ezhukone, Kollam.","S","48881","-","50402","-","-","-","-","-","-","-","-","-",""
"TOC","Toc H Institute of Science & Tech., Mulamthurutthy.","S","49915","-","-","-","-","-","-","-","-","-","-","-",""
"UKP","UKF College of Engineering & Tech., Parippally.","S","52758","-","-","-","-","-","-","-","-","-","-","-",""
"UNT","Universal Engineering College, Vallivattom, Thrissur.","S","51498","-","-","-","-","-","-","-","-","-","-","-",""
"VAK","Vidya Academy of Science & Technology, Kilimanoor.","S","52317","-","-","-","-","-","-","-","-","-","-","-",""
"VAS","Vidya Academy of Science & Technology, Thrissur.","S","52948","-","-","-","-","-","-","-","-","-","-","-",""
"VIT","Vijnan Institute of Science & Technology, Piravam.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"VJC","Viswajyothi College of Engg. & Technology,Vazhakulam.","S","48654","-","-","-","-","-","-","-","-","-","-","-",""
"VKE","Valia Koonambaikulathamma College of Engg. & tech., Parippally.","S","52557","-","-","-","-","-","-","-","-","-","-","-",""
"VML","Vimal Jyothi Engineering College, Chemperi.","S","49594","-","-","-","-","-","-","-","-","-","-","-",""
"VPE","Mahaguru Institute of Technology, Mavelikkara, Alappuzha","S","52848","-","-","-","-","-","-","-","-","-","-","-",""
"VVT","Veda Vyasa Institute of Technology, Ponnempadam, Malappuram.","S","50657","-","-","-","-","-","-","-","-","-","-","-",""
"YCE","Younus College of Engg. & Technology, Vadakkevila, Kollam","S","52563","-","-","-","-","-","-","-","-","-","-","-","MM:42850"
